user_id,name,ethnicity,language_preferences,city,art_interests,culture_preferences,mood_preferences,activity_level,join_date
U0014,Ayesha Silva,sinhala,['mixed_sinhala_english'],Monaragala,"['literature', 'dance']",['contemporary'],"['spiritual', 'intellectual', 'devotional']",high,2025-05-28T10:09:28.498305
U0015,Thilini Selvam,sinhala,"['sinhala', 'english']",Matara,"['dance', 'visual_arts', 'literature']",['contemporary'],"['celebratory', 'intellectual', 'spiritual', 'patriotic']",medium,2025-05-11T10:09:28.498319
U0016,Nadeesha Mendis,sinhala,['sinhala'],Trincomalee,['visual_arts'],"['fusion', 'contemporary']","['devotional', 'patriotic', 'intellectual']",low,2025-04-03T10:09:28.498332
U0017,Hiruni Rajapaksa,sinhala,['sinhala'],Jaffna,['dance'],['contemporary'],"['celebratory', 'romantic']",medium,2025-04-16T10:09:28.498344
U0018,Shehan Rathnayake,sinhala,['sinhala'],Nuwara Eliya,['dance'],['contemporary'],"['energetic', 'romantic', 'devotional', 'celebratory']",medium,2025-06-12T10:09:28.498358
U0019,Gayan Kumar,sinhala,['mixed_sinhala_english'],Hambantota,['literature'],"['traditional', 'contemporary']","['romantic', 'energetic', 'reflective', 'celebratory']",high,2025-02-28T10:09:28.498372
U0020,Buddhika Perera,other,['english'],Chilaw,['drama'],['fusion'],"['energetic', 'reflective']",medium,2025-06-02T10:09:28.498385
U0021,Mohan Jayawardena,tamil,"['tamil', 'english']",Badulla,"['literature', 'crafts']","['fusion', 'traditional']","['romantic', 'celebratory']",low,2025-04-04T10:09:28.498399
U0022,Lakshman Rajapaksa,sinhala,['mixed_sinhala_english'],Ratnapura,['literature'],"['contemporary', 'traditional']","['spiritual', 'patriotic']",medium,2025-08-24T10:09:28.498411
U0023,Sachini Senanayake,sinhala,['sinhala'],Hambantota,['visual_arts'],"['contemporary', 'traditional']","['reflective', 'romantic', 'celebratory', 'intellectual']",medium,2025-10-29T10:09:28.498425
U0024,Chaminda Sivarajah,sinhala,"['sinhala', 'english']",Gampaha,"['music', 'literature', 'dance']","['contemporary', 'fusion']","['reflective', 'spiritual', 'devotional']",low,2025-10-14T10:09:28.498440
U0025,Kumar Liyanage,tamil,['tamil'],Kilinochchi,"['visual_arts', 'music']","['traditional', 'contemporary']","['celebratory', 'devotional', 'energetic']",medium,2025-05-22T10:09:28.498453
U0026,Priya Fernando,sinhala,['sinhala'],Monaragala,['drama'],"['fusion', 'fusion']","['patriotic', 'intellectual', 'romantic']",medium,2025-04-13T10:09:28.498466
U0027,Nuwan Samaraweera,sinhala,['sinhala'],Hambantota,['drama'],['traditional'],"['patriotic', 'intellectual', 'reflective']",medium,2025-04-26T10:09:28.498479
U0028,Gayan Gunasekara,sinhala,['sinhala'],Gampaha,"['dance', 'crafts']",['contemporary'],"['patriotic', 'romantic']",medium,2025-11-10T10:09:28.498493
U0029,Nalaka Dissanayake,sinhala,['mixed_sinhala_english'],Monaragala,['visual_arts'],"['contemporary', 'traditional']","['devotional', 'patriotic', 'intellectual', 'spiritual']",medium,2025-08-11T10:09:28.498506
U0030,Kasun Dissanayake,sinhala,"['sinhala', 'english']",Galle,['crafts'],"['contemporary', 'contemporary']","['intellectual', 'devotional']",low,2025-10-18T10:09:28.498518
U0031,Lakshman Ranasinghe,sinhala,['mixed_sinhala_english'],Badulla,"['dance', 'music']","['traditional', 'traditional']","['celebratory', 'spiritual']",low,2025-03-06T10:09:28.498531
U0032,Vel Thiyagarajah,tamil,"['tamil', 'english']",Badulla,"['literature', 'visual_arts']","['contemporary', 'traditional']","['celebratory', 'devotional', 'intellectual', 'energetic']",medium,2025-04-22T10:09:28.498545
U0033,Anusha Kumara,sinhala,['sinhala'],Kandy,['visual_arts'],"['fusion', 'fusion']","['devotional', 'intellectual', 'romantic', 'energetic']",low,2025-05-14T10:09:28.498559
U0034,Amila Gunasekara,sinhala,['mixed_sinhala_english'],Puttalam,['music'],"['contemporary', 'contemporary']","['romantic', 'reflective']",medium,2025-04-11T10:09:28.498572
U0035,Chathurika Nadarajah,sinhala,['sinhala'],Ratnapura,['music'],['contemporary'],"['intellectual', 'energetic', 'celebratory']",medium,2025-06-11T10:09:28.498584
U0036,Sandani Fernando,sinhala,['mixed_sinhala_english'],Anuradhapura,['dance'],"['traditional', 'contemporary']","['energetic', 'intellectual', 'spiritual']",medium,2025-05-09T10:09:28.498598
U0037,Sachini Ranasinghe,sinhala,['mixed_sinhala_english'],Trincomalee,"['visual_arts', 'music']",['fusion'],"['celebratory', 'intellectual', 'patriotic', 'energetic']",high,2025-05-21T10:09:28.498611
U0038,Danushka Kumar,sinhala,"['sinhala', 'english']",Galle,['drama'],"['traditional', 'fusion']","['romantic', 'devotional', 'celebratory']",medium,2025-04-11T10:09:28.498624
U0039,Tharindu Senanayake,sinhala,['sinhala'],Kalutara,"['literature', 'dance']",['fusion'],"['celebratory', 'romantic']",high,2025-11-09T10:09:28.498637
U0040,Sanduni Rajapaksa,sinhala,['mixed_sinhala_english'],Ampara,"['drama', 'music']",['contemporary'],"['romantic', 'celebratory']",medium,2025-08-06T10:09:28.498650
U0041,Isuru Herath,sinhala,"['sinhala', 'english']",Galle,['literature'],['traditional'],"['spiritual', 'devotional', 'romantic']",low,2025-07-19T10:09:28.498664
U0042,Dinesh Perera,sinhala,"['sinhala', 'english']",Puttalam,"['dance', 'visual_arts']","['traditional', 'fusion']","['intellectual', 'patriotic', 'spiritual', 'energetic']",high,2025-04-20T10:09:28.498677
U0043,Chathura Jayawardena,other,['english'],Chilaw,"['visual_arts', 'literature']","['contemporary', 'traditional']","['romantic', 'energetic']",medium,2025-05-20T10:09:28.498691
U0044,Dinesh Kumar,sinhala,"['sinhala', 'english']",Colombo,['drama'],['contemporary'],"['romantic', 'reflective', 'devotional']",low,2025-08-24T10:09:28.498703
U0045,Hashini Perera,sinhala,['sinhala'],Matara,"['visual_arts', 'crafts']",['contemporary'],"['intellectual', 'energetic', 'celebratory', 'patriotic']",medium,2025-06-19T10:09:28.498986
U0046,Nalaka Bandara,sinhala,['mixed_sinhala_english'],Mannar,['crafts'],"['contemporary', 'contemporary']","['patriotic', 'intellectual', 'energetic']",medium,2025-09-06T10:09:28.499006
U0047,Lahiru Kumar,sinhala,['sinhala'],Kandy,"['literature', 'music']",['traditional'],"['romantic', 'patriotic', 'intellectual']",low,2025-04-19T10:09:28.499022
U0048,Angelo Dissanayake,sinhala,['sinhala'],Matara,['drama'],['contemporary'],"['romantic', 'celebratory']",low,2025-04-04T10:09:28.499036
U0049,Dilini Rathnayake,sinhala,['mixed_sinhala_english'],Kurunegala,['dance'],"['contemporary', 'contemporary']","['celebratory', 'reflective']",low,2025-05-13T10:09:28.499049
U0050,Dilshan De Silva,sinhala,"['sinhala', 'english']",Kalutara,"['literature', 'dance']",['traditional'],"['romantic', 'celebratory', 'spiritual', 'devotional']",medium,2025-06-13T10:09:28.499062
U0051,Vindya Ekanayake,sinhala,['sinhala'],Puttalam,['visual_arts'],"['fusion', 'fusion']","['celebratory', 'romantic', 'patriotic']",high,2025-09-28T10:09:28.499075
U0052,Danushka Perera,sinhala,['mixed_sinhala_english'],Nuwara Eliya,['crafts'],['traditional'],"['intellectual', 'patriotic', 'romantic']",medium,2025-12-27T10:09:28.499092
U0053,Samanthi Herath,sinhala,"['sinhala', 'english']",Ampara,['music'],"['contemporary', 'contemporary']","['energetic', 'intellectual', 'celebratory', 'romantic']",medium,2025-10-28T10:09:28.499107
U0054,Lakshman Perera,other,['english'],Gampaha,['drama'],"['contemporary', 'contemporary']","['devotional', 'reflective', 'romantic']",medium,2025-06-02T10:09:28.499122
U0055,Chaminda Liyanage,sinhala,"['sinhala', 'english']",Kilinochchi,"['dance', 'literature']",['fusion'],"['celebratory', 'devotional', 'patriotic', 'reflective']",medium,2025-10-15T10:09:28.499136
U0056,Chandima Kumara,sinhala,"['sinhala', 'english']",Hambantota,['crafts'],"['contemporary', 'contemporary']","['intellectual', 'reflective']",medium,2025-08-01T10:09:28.499149
U0057,Nadeeka Thiyagarajah,sinhala,"['sinhala', 'english']",Ratnapura,['literature'],"['fusion', 'contemporary']","['spiritual', 'reflective', 'devotional']",medium,2025-06-20T10:09:28.499161
U0058,Siva Ranasinghe,tamil,['tamil'],Chilaw,['dance'],['contemporary'],"['intellectual', 'patriotic', 'energetic', 'celebratory']",medium,2025-04-06T10:09:28.499175
U0059,Lakshman Samaraweera,sinhala,"['sinhala', 'english']",Ratnapura,['dance'],['contemporary'],"['celebratory', 'romantic', 'energetic']",high,2025-11-15T10:09:28.499188
U0060,Sanduni Pathirana,sinhala,['mixed_sinhala_english'],Matale,['literature'],"['contemporary', 'traditional']","['intellectual', 'spiritual', 'energetic']",medium,2025-06-30T10:09:28.499201
U0061,Thisara Liyanage,sinhala,['mixed_sinhala_english'],Matale,"['drama', 'visual_arts', 'literature']","['fusion', 'traditional']","['intellectual', 'devotional', 'spiritual']",medium,2025-05-10T10:09:28.499215
U0062,Anusha Nadarajah,sinhala,['mixed_sinhala_english'],Ampara,"['music', 'literature', 'visual_arts']",['fusion'],"['celebratory', 'reflective', 'patriotic']",medium,2025-07-01T10:09:28.499229
U0063,Dinesh Wijesinghe,sinhala,['mixed_sinhala_english'],Kurunegala,"['music', 'crafts', 'drama']",['fusion'],"['spiritual', 'romantic', 'energetic']",high,2025-10-31T10:09:28.499243
U0064,Chandima Perera,sinhala,['sinhala'],Kurunegala,"['drama', 'literature']","['contemporary', 'fusion']","['devotional', 'reflective', 'patriotic', 'energetic']",low,2025-12-25T10:09:28.499257
U0065,Amila Ranasinghe,sinhala,['mixed_sinhala_english'],Jaffna,"['literature', 'dance', 'visual_arts']",['contemporary'],"['spiritual', 'energetic', 'intellectual', 'reflective']",low,2025-12-20T10:09:28.499271
U0066,Mahela Sivarajah,sinhala,"['sinhala', 'english']",Mannar,['music'],"['contemporary', 'contemporary']","['reflective', 'celebratory']",medium,2025-07-01T10:09:28.499283
U0067,Amila Kumara,sinhala,"['sinhala', 'english']",Anuradhapura,['visual_arts'],"['contemporary', 'contemporary']","['romantic', 'patriotic', 'intellectual']",high,2025-05-31T10:09:28.499296
U0068,Vani Dissanayake,other,['english'],Badulla,"['literature', 'drama', 'visual_arts']","['traditional', 'contemporary']","['spiritual', 'intellectual', 'energetic']",medium,2025-03-24T10:09:28.499310
U0069,Ajith Fernando,sinhala,"['sinhala', 'english']",Monaragala,['dance'],['fusion'],"['intellectual', 'devotional', 'reflective', 'spiritual']",medium,2025-07-16T10:09:28.499324
U0070,Buddhika Gunasekara,sinhala,['mixed_sinhala_english'],Monaragala,"['literature', 'music']",['fusion'],"['celebratory', 'reflective', 'energetic', 'intellectual']",medium,2025-11-06T10:09:28.499337
U0071,Lakshman Liyanage,sinhala,"['sinhala', 'english']",Batticaloa,['music'],"['contemporary', 'fusion']","['romantic', 'devotional']",low,2025-08-14T10:09:28.499350
U0072,Sachini Selvam,sinhala,['sinhala'],Kalutara,['music'],"['fusion', 'fusion']","['spiritual', 'devotional', 'energetic']",high,2025-04-13T10:09:28.499364
U0073,Madhavi Liyanage,sinhala,['mixed_sinhala_english'],Monaragala,['visual_arts'],"['traditional', 'traditional']","['patriotic', 'romantic']",medium,2025-12-11T10:09:28.499377
U0074,Ayesha Dissanayake,sinhala,['mixed_sinhala_english'],Badulla,['music'],['fusion'],"['intellectual', 'celebratory', 'devotional']",medium,2025-04-12T10:09:28.499389
U0075,Ayesha Ranasinghe,sinhala,"['sinhala', 'english']",Kegalle,"['crafts', 'visual_arts']",['fusion'],"['spiritual', 'devotional', 'energetic', 'romantic']",medium,2025-08-22T10:09:28.499402
U0076,Madhavi Selvam,sinhala,['sinhala'],Ampara,"['drama', 'dance', 'literature']","['traditional', 'traditional']","['intellectual', 'celebratory']",medium,2025-02-18T10:09:28.499416
U0077,Nuwan Weerasinghe,sinhala,['sinhala'],Kilinochchi,['music'],['traditional'],"['energetic', 'romantic', 'spiritual', 'patriotic']",medium,2025-10-29T10:09:28.499430
U0078,Durga Gunasekara,tamil,['tamil'],Matale,"['crafts', 'drama', 'music']",['contemporary'],"['reflective', 'celebratory']",medium,2025-09-13T10:09:28.499446
U0079,Nuwan Gunasekara,sinhala,['sinhala'],Gampaha,['visual_arts'],['contemporary'],"['intellectual', 'devotional', 'reflective']",medium,2025-11-18T10:09:28.499460
U0080,Priya Silva,sinhala,['mixed_sinhala_english'],Kegalle,"['literature', 'crafts']","['contemporary', 'fusion']","['intellectual', 'devotional']",medium,2025-11-18T10:09:28.499473
U0081,Damith Samaraweera,sinhala,['sinhala'],Kalutara,['music'],['traditional'],"['patriotic', 'energetic', 'romantic', 'intellectual']",medium,2025-04-29T10:09:28.499486
U0082,Angelo Jayasuriya,sinhala,['mixed_sinhala_english'],Badulla,"['crafts', 'music']","['contemporary', 'traditional']","['intellectual', 'energetic', 'devotional']",low,2025-08-05T10:09:28.499500
U0083,Dinesh Sivarajah,sinhala,"['sinhala', 'english']",Matale,"['visual_arts', 'dance']",['fusion'],"['devotional', 'celebratory']",low,2025-07-06T10:09:28.499513
U0084,Lakshmi Bandara,tamil,['tamil'],Chilaw,"['literature', 'dance']","['contemporary', 'contemporary']","['celebratory', 'reflective', 'romantic']",medium,2025-11-20T10:09:28.499526
U0085,Ravi Ranasinghe,sinhala,['sinhala'],Kurunegala,['dance'],"['fusion', 'contemporary']","['energetic', 'devotional', 'intellectual']",low,2025-02-28T10:09:28.499541
U0086,Chandima Fernando,sinhala,['mixed_sinhala_english'],Polonnaruwa,"['literature', 'drama', 'dance']",['traditional'],"['patriotic', 'reflective', 'celebratory']",high,2025-10-31T10:09:28.499555
U0087,Nadeesha Wijesinghe,sinhala,['sinhala'],Kegalle,"['dance', 'literature']",['contemporary'],"['patriotic', 'spiritual', 'reflective']",medium,2025-07-30T10:09:28.499567
U0088,Suresh Perera,tamil,['mixed_tamil_english'],Gampaha,['crafts'],['contemporary'],"['intellectual', 'patriotic', 'energetic']",medium,2025-05-31T10:09:28.499580
U0089,Ravi Jayasuriya,sinhala,['mixed_sinhala_english'],Mannar,['drama'],"['contemporary', 'contemporary']","['devotional', 'romantic']",high,2025-09-30T10:09:28.499592
U0090,Ravi Ekanayake,sinhala,['sinhala'],Hambantota,['dance'],['contemporary'],"['reflective', 'spiritual', 'energetic']",medium,2025-09-17T10:09:28.499605
U0091,Dinesh Perera,sinhala,"['sinhala', 'english']",Trincomalee,"['dance', 'visual_arts', 'literature']","['fusion', 'fusion']","['devotional', 'romantic', 'energetic', 'patriotic']",medium,2025-06-19T10:09:28.499618
U0092,Nimesh Weerasinghe,sinhala,['sinhala'],Polonnaruwa,['literature'],"['traditional', 'fusion']","['devotional', 'romantic']",medium,2025-12-03T10:09:28.499631
U0093,Nalaka Kumar,sinhala,['mixed_sinhala_english'],Matara,['music'],['contemporary'],"['energetic', 'devotional']",medium,2025-02-16T10:09:28.499643
U0094,Priya Wijesinghe,tamil,['tamil'],Hambantota,['crafts'],['contemporary'],"['spiritual', 'intellectual', 'patriotic', 'energetic']",medium,2025-03-30T10:09:28.499656
U0095,Arun Kumara,tamil,['mixed_tamil_english'],Anuradhapura,"['crafts', 'drama']","['traditional', 'traditional']","['romantic', 'devotional', 'reflective']",medium,2025-07-16T10:09:28.499672
U0096,Nalaka Selvam,sinhala,"['sinhala', 'english']",Gampaha,['drama'],['contemporary'],"['devotional', 'energetic']",medium,2025-12-22T10:09:28.499686
U0097,Gayan Rajapaksa,sinhala,['mixed_sinhala_english'],Kilinochchi,"['crafts', 'music']",['contemporary'],"['spiritual', 'romantic', 'patriotic']",high,2025-09-08T10:09:28.499699
U0098,Damith Gunawardena,sinhala,['mixed_sinhala_english'],Polonnaruwa,['drama'],"['contemporary', 'contemporary']","['celebratory', 'devotional', 'patriotic', 'reflective']",high,2025-11-25T10:09:28.499712
U0099,Isuru Gunasekara,sinhala,"['sinhala', 'english']",Kegalle,"['crafts', 'music', 'drama']",['contemporary'],"['patriotic', 'reflective']",low,2025-06-26T10:09:28.499725
U0100,Samanthi Dissanayake,sinhala,['sinhala'],Chilaw,['drama'],['contemporary'],"['spiritual', 'patriotic', 'devotional', 'energetic']",medium,2026-01-03T10:09:28.499739
U0101,Thilini Kumar,sinhala,['sinhala'],Kurunegala,['music'],['traditional'],"['celebratory', 'patriotic']",medium,2025-03-02T10:09:28.499752
U0102,Isuru Mendis,sinhala,['sinhala'],Nuwara Eliya,"['crafts', 'music']","['traditional', 'contemporary']","['energetic', 'intellectual', 'romantic', 'reflective']",low,2025-05-28T10:09:28.499765
U0103,Amila Weerasinghe,sinhala,"['sinhala', 'english']",Kurunegala,"['music', 'drama', 'visual_arts']","['contemporary', 'contemporary']","['devotional', 'spiritual', 'intellectual', 'romantic']",high,2025-09-06T10:09:28.499780
U0104,Ruwan Amarasinghe,sinhala,"['sinhala', 'english']",Kandy,"['crafts', 'dance']","['traditional', 'traditional']","['reflective', 'devotional', 'energetic']",high,2025-09-21T10:09:28.499793
U0105,Ragavan Thiyagarajah,tamil,['tamil'],Gampaha,['drama'],['contemporary'],"['patriotic', 'spiritual']",high,2025-11-23T10:09:28.499805
U0106,Ganesh Weerasinghe,tamil,"['tamil', 'english']",Matale,['drama'],"['contemporary', 'traditional']","['intellectual', 'energetic', 'romantic', 'celebratory']",low,2026-01-03T10:09:28.499818
U0107,Chathurika Liyanage,sinhala,['mixed_sinhala_english'],Polonnaruwa,"['dance', 'drama']",['contemporary'],"['energetic', 'intellectual']",medium,2025-02-28T10:09:28.499830
U0108,Sanduni Jayawardena,sinhala,"['sinhala', 'english']",Chilaw,['crafts'],['contemporary'],"['devotional', 'celebratory', 'romantic']",medium,2025-03-26T10:09:28.499843
U0109,Dinesh Perera,sinhala,['mixed_sinhala_english'],Puttalam,"['dance', 'crafts', 'literature']","['fusion', 'traditional']","['patriotic', 'reflective', 'intellectual']",high,2025-12-09T10:09:28.499857
U0110,Lahiru Senanayake,sinhala,['mixed_sinhala_english'],Kandy,"['literature', 'drama']",['traditional'],"['patriotic', 'devotional', 'intellectual', 'spiritual']",low,2025-05-20T10:09:28.499870
U0111,Vijay Senanayake,other,['english'],Nuwara Eliya,"['dance', 'visual_arts']",['traditional'],"['energetic', 'celebratory']",medium,2025-08-07T10:09:28.499884
U0112,Chathura Gunasekara,sinhala,"['sinhala', 'english']",Gampaha,"['music', 'drama']","['fusion', 'traditional']","['patriotic', 'reflective', 'celebratory', 'devotional']",medium,2025-06-22T10:09:28.499897
U0113,Isuru Mendis,sinhala,"['sinhala', 'english']",Kurunegala,"['drama', 'crafts']","['fusion', 'contemporary']","['devotional', 'romantic']",low,2025-10-12T10:09:28.499910
U0114,Nimesh Perera,sinhala,['sinhala'],Kilinochchi,"['drama', 'visual_arts']","['traditional', 'contemporary']","['celebratory', 'patriotic', 'reflective']",medium,2025-06-04T10:09:28.499923
U0115,Mahela Ranasinghe,sinhala,['sinhala'],Badulla,['crafts'],['fusion'],"['intellectual', 'celebratory']",high,2025-09-14T10:09:28.499936
U0116,Ragavan Nadarajah,tamil,"['tamil', 'english']",Anuradhapura,['music'],"['fusion', 'contemporary']","['reflective', 'romantic']",medium,2025-08-05T10:09:28.499948
U0117,Amila Fernando,sinhala,['sinhala'],Kegalle,['crafts'],"['fusion', 'traditional']","['intellectual', 'spiritual', 'romantic']",medium,2025-05-06T10:09:28.499961
U0118,Dilini Selvam,sinhala,['sinhala'],Nuwara Eliya,"['visual_arts', 'dance', 'drama']","['contemporary', 'contemporary']","['romantic', 'devotional', 'spiritual']",low,2025-02-20T10:09:28.499974
U0119,Madhavi Wickremasinghe,sinhala,['mixed_sinhala_english'],Kandy,"['music', 'literature', 'visual_arts']",['contemporary'],"['patriotic', 'energetic', 'romantic', 'spiritual']",medium,2025-11-29T10:09:28.499989
U0120,Nadeesha Liyanage,sinhala,['mixed_sinhala_english'],Kurunegala,"['visual_arts', 'crafts']",['traditional'],"['spiritual', 'energetic', 'devotional']",medium,2025-07-20T10:09:28.500002
U0121,Anusha Bandara,sinhala,['mixed_sinhala_english'],Nuwara Eliya,"['music', 'visual_arts']",['fusion'],"['reflective', 'intellectual', 'spiritual', 'patriotic']",medium,2025-09-19T10:09:28.500015
U0122,Hashini Rathnayake,sinhala,"['sinhala', 'english']",Kalutara,['literature'],"['traditional', 'contemporary']","['spiritual', 'romantic', 'patriotic', 'intellectual']",medium,2025-03-21T10:09:28.500028
U0123,Dinesh Liyanage,sinhala,['mixed_sinhala_english'],Polonnaruwa,['crafts'],['fusion'],"['spiritual', 'celebratory']",low,2025-03-23T10:09:28.500040
U0124,Ravi Thiyagarajah,sinhala,['mixed_sinhala_english'],Polonnaruwa,"['visual_arts', 'crafts']","['contemporary', 'contemporary']","['devotional', 'reflective']",medium,2025-12-13T10:09:28.500053
U0125,Kavinda Selvam,sinhala,"['sinhala', 'english']",Galle,['music'],"['fusion', 'contemporary']","['devotional', 'spiritual', 'reflective']",medium,2025-11-19T10:09:28.500066
U0126,Ayesha Gunasekara,sinhala,['sinhala'],Ampara,['dance'],['traditional'],"['devotional', 'spiritual', 'intellectual']",low,2025-03-23T10:09:28.500079
U0127,Buddhika De Silva,sinhala,['sinhala'],Puttalam,['drama'],"['traditional', 'fusion']","['intellectual', 'spiritual', 'devotional', 'romantic']",medium,2025-12-18T10:09:28.500092
U0128,Thisara Ranasinghe,sinhala,['mixed_sinhala_english'],Kurunegala,['dance'],['contemporary'],"['patriotic', 'devotional', 'energetic']",medium,2025-06-21T10:09:28.500104
U0129,Anusha Sivarajah,sinhala,['sinhala'],Chilaw,['visual_arts'],"['contemporary', 'traditional']","['spiritual', 'intellectual', 'celebratory', 'energetic']",medium,2025-07-23T10:09:28.500118
U0130,Madhavi Rajapaksa,sinhala,['sinhala'],Polonnaruwa,"['crafts', 'dance']",['traditional'],"['patriotic', 'devotional', 'energetic', 'romantic']",medium,2025-03-08T10:09:28.500131
U0131,Thiru Kumara,tamil,"['tamil', 'english']",Polonnaruwa,['visual_arts'],"['contemporary', 'contemporary']","['intellectual', 'patriotic', 'romantic', 'reflective']",medium,2026-01-04T10:09:28.500144
U0132,Malsha Thiyagarajah,sinhala,['sinhala'],Anuradhapura,['literature'],['contemporary'],"['energetic', 'patriotic', 'celebratory']",medium,2025-10-17T10:09:28.500157
U0133,Lahiru Ekanayake,sinhala,['mixed_sinhala_english'],Trincomalee,['literature'],['traditional'],"['spiritual', 'intellectual', 'celebratory', 'energetic']",medium,2025-10-27T10:09:28.500170
U0134,Ravi Gunawardena,sinhala,"['sinhala', 'english']",Polonnaruwa,"['literature', 'dance', 'music']",['contemporary'],"['intellectual', 'romantic', 'energetic', 'reflective']",low,2025-05-22T10:09:28.500184
U0135,Malsha Amarasinghe,other,['english'],Mannar,"['literature', 'drama']","['traditional', 'traditional']","['romantic', 'spiritual', 'reflective', 'patriotic']",low,2025-05-07T10:09:28.500201
U0136,Tharindu Kumara,sinhala,['mixed_sinhala_english'],Kegalle,['dance'],"['fusion', 'contemporary']","['reflective', 'intellectual', 'celebratory']",medium,2025-12-03T10:09:28.500216
U0137,Damith Gunasekara,sinhala,['mixed_sinhala_english'],Kegalle,['music'],"['fusion', 'contemporary']","['spiritual', 'romantic']",low,2025-09-12T10:09:28.500232
U0138,Dinesh Wickremasinghe,sinhala,['mixed_sinhala_english'],Badulla,['dance'],"['contemporary', 'contemporary']","['reflective', 'celebratory', 'romantic', 'spiritual']",medium,2025-05-14T10:09:28.500246
U0139,Buddhika Kumar,sinhala,"['sinhala', 'english']",Jaffna,"['dance', 'crafts']",['contemporary'],"['celebratory', 'spiritual', 'energetic', 'devotional']",low,2025-12-25T10:09:28.500260
U0140,Vel Weerasinghe,other,['english'],Kurunegala,['literature'],"['fusion', 'traditional']","['spiritual', 'reflective', 'devotional', 'energetic']",low,2025-04-09T10:09:28.500273
U0141,Dilini Selvam,sinhala,['mixed_sinhala_english'],Hambantota,['dance'],"['traditional', 'contemporary']","['reflective', 'celebratory', 'patriotic']",medium,2025-08-14T10:09:28.500286
U0142,Buddhika Jayawardena,sinhala,['sinhala'],Badulla,"['visual_arts', 'crafts', 'drama']",['contemporary'],"['reflective', 'spiritual']",medium,2025-09-07T10:09:28.500299
U0143,Isuru Selvam,sinhala,['sinhala'],Hambantota,"['drama', 'crafts', 'dance']","['contemporary', 'contemporary']","['spiritual', 'energetic']",medium,2025-06-19T10:09:28.500312
U0144,Samanthi Herath,sinhala,"['sinhala', 'english']",Kandy,"['drama', 'literature']",['traditional'],"['intellectual', 'spiritual']",medium,2025-03-08T10:09:28.500325
U0145,Ajith Kumara,sinhala,['mixed_sinhala_english'],Kurunegala,"['literature', 'music']",['contemporary'],"['spiritual', 'romantic', 'energetic', 'devotional']",low,2025-12-04T10:09:28.500338
U0146,Priya Silva,other,['english'],Chilaw,"['music', 'crafts', 'literature']",['contemporary'],"['intellectual', 'celebratory', 'patriotic', 'spiritual']",low,2025-05-07T10:09:28.500351
U0147,Shehan Weerasinghe,sinhala,"['sinhala', 'english']",Gampaha,['crafts'],"['contemporary', 'traditional']","['romantic', 'patriotic', 'celebratory']",medium,2026-01-11T10:09:28.500364
